SchemaName,TableName,create_date,modify_date
adc,DispatchMatrixProject,2025-05-18 17:37:03.663,2025-05-18 17:37:03.663
adc,DispatchMatrixReportType,2025-05-18 17:37:03.897,2025-05-18 17:37:03.897
adc,DispatchMatrixRiskType,2025-05-18 17:37:04.137,2025-05-18 17:37:04.137
adc,DispatchMatrixUserLevel,2025-05-18 17:15:07.430,2025-05-18 17:15:07.430
adc,DocumentRequisitionStatus,2025-02-24 14:57:30.410,2025-02-24 14:57:30.410
adc,EntranceMeetingDecision,2022-07-21 12:01:38.840,2022-07-21 12:01:38.840
adc,MeetingLinkEmailHistory,2025-02-24 14:58:30.880,2025-02-24 14:58:30.880
adc,ObservationDropStatus,2025-05-18 17:16:20.987,2025-05-18 17:16:20.987
adc,PlanningDocumentComment,2022-07-21 11:47:07.217,2023-12-03 15:10:08.787
adc,PlanningDocumentReqSlotDetailFile,2025-02-24 14:56:06.493,2025-02-24 14:56:07.423
adc,PlanningDocumentRequisition,2025-02-24 14:56:03.050,2025-02-24 14:56:04.320
adc,PlanningDocumentRequisitionClient,2025-02-24 14:57:29.770,2025-02-24 14:57:29.770
adc,PlanningDocumentRequisitionSlotDetail,2025-02-24 14:57:31.923,2025-03-10 11:23:52.183
adc,ReportDispatch,2024-05-09 19:24:36.373,2026-05-19 20:09:09.870
adc,ReportDispatchDelegator,2025-05-19 11:23:06.410,2025-05-19 11:23:06.410
adc,ReportDispatchStatus,2024-05-09 19:16:37.027,2024-05-09 19:16:37.027
adc,ReportSignatureType,2024-05-09 19:05:00.533,2024-05-09 19:05:00.533
adc,ReportWritingActionPlan,2022-11-07 12:03:14.823,2026-06-21 17:13:02.303
adc,ReportWritingActionPlanActionObserver,2023-11-23 17:46:51.453,2023-11-23 17:46:51.453
adc,ReportWritingActionPlanActionOwner,2023-11-29 14:25:21.253,2025-05-18 17:14:06.090
adc,ReportWritingActionPlanAlert,2025-10-06 17:34:43.360,2025-10-06 17:34:43.360
adc,ReportWritingActionPlanDetail,2023-11-15 16:23:00.040,2023-11-15 16:23:00.040
adc,ReportWritingActionPlanStatus,2025-11-09 16:28:50.733,2025-11-09 16:28:50.733
adc,ReportWritingAnnexure,2022-08-16 11:52:52.963,2022-11-14 17:22:47.173
adc,ReportWritingAPR,2022-08-16 11:41:39.967,2022-08-16 11:41:39.967
adc,ReportWritingBasicInformation,2022-08-16 11:38:43.937,2022-08-24 15:16:52.383
adc,ReportWritingComment,2024-05-11 18:59:16.280,2025-05-18 17:16:39.187
adc,ReportWritingComplianceExternal,2023-11-04 16:16:41.587,2025-11-18 16:40:21.510
adc,ReportWritingComplianceExternalDoc,2023-11-04 16:50:14.827,2024-11-24 18:19:08.790
adc,ReportWritingComplianceExternalObs,2023-11-05 11:14:44.653,2023-11-05 11:14:44.750
adc,ReportWritingComplianceICQ,2024-10-03 16:55:40.240,2026-05-20 16:38:54.723
adc,ReportWritingComplianceICQComment,2026-02-14 13:10:39.290,2026-02-14 13:10:39.290
adc,ReportWritingComplianceICQFile,2023-11-05 17:51:34.340,2024-11-24 18:16:44.420
adc,ReportWritingComplianceIcqObservation,2025-05-18 17:10:22.207,2025-05-18 17:10:22.693
adc,ReportWritingComplianceICQRemark,2025-02-24 15:00:19.410,2025-02-24 15:00:19.410
adc,ReportWritingComplianceInternalDoc,2024-05-08 14:55:06.820,2024-11-24 18:19:06.237
adc,ReportWritingComplianceInternalObservation,2025-05-18 17:09:21.300,2025-05-18 17:09:22.540
adc,ReportWritingComplianceStatus,2023-11-02 16:27:01.993,2023-11-02 16:27:01.993
adc,ReportWritingComplianceText,2023-11-01 11:20:30.420,2025-05-18 17:09:00.657
adc,ReportWritingComponentPermission,2025-04-28 16:44:01.950,2025-10-23 15:07:36.913
adc,ReportWritingComponentTab,2022-10-29 13:45:05.040,2022-10-29 13:45:05.040
adc,ReportWritingConplianceInternal,2022-11-16 18:37:06.100,2025-11-18 16:40:21.240
