SchemaName,TableName,IndexName,is_primary_key,is_unique,is_unique_constraint,key_ordinal,ColumnName
adc,ReportWritingActionPlanStatus,PK_ReportWritingActionPlanStatus,1,1,0,1,ReportWritingActionPlanStatusId
adc,ReportWritingAnnexure,PK_ReportWritingAnnexure,1,1,0,1,ReportWritingAnnexureId
adc,ReportWritingAPR,PK_ReportWritingAPR,1,1,0,1,ReportWritingAPRId
adc,ReportWritingBasicInformation,PK_ReportWritingBasicInformation,1,1,0,1,ReportWritingBasicInfoId
adc,ReportWritingComment,PK_ReportWritingCommen,1,1,0,1,ReportWritingCommentId
adc,ReportWritingComplianceExternal,PK__ReportWr__A579FB9BBBAD3E38,1,1,0,1,ReportWritingComplianceExternalId
adc,ReportWritingComplianceExternalDoc,PK_ReportWritingComplianceExternalDoc,1,1,0,1,ReportWritingComplianceExternalDocId
adc,ReportWritingComplianceExternalObs,PK__ReportWr__D39B9DF1D5B93B34,1,1,0,1,RWComplianceExternalObsId
adc,ReportWritingComplianceICQ,PK__ReportWr__8B29B8720EF4FD17,1,1,0,1,ReportWritingComplianceICQId
adc,ReportWritingComplianceICQComment,PK_ReportWritingComplianceICQComment,1,1,0,1,ReportWritingComplianceICQCommentId
adc,ReportWritingComplianceICQFile,PK__ReportWr__05D4F577BF40CBEE,1,1,0,1,ReportWritingComplianceICQFileId
adc,ReportWritingComplianceIcqObservation,PK__ReportWr__96DCD51CA59C864C,1,1,0,1,ReportWritingComplianceIcqObservationId
adc,ReportWritingComplianceICQRemark,PK__ReportWr__A6973B081DA4B97A,1,1,0,1,ReportWritingComplianceICQRemarkId
adc,ReportWritingComplianceInternalDoc,PK_ReportWritingComplianceInternalDoc,1,1,0,1,ReportWritingComplianceInternalDocId
adc,ReportWritingComplianceInternalObservation,PK_adc.ReportWritingComplianceInternalObservation,1,1,0,1,ReportWritingComplianceInternalObservationId
adc,ReportWritingComplianceStatus,PK__ReportWr__6997E5F6596952A6,1,1,0,1,ReportWritingComplianceStatusId
adc,ReportWritingComplianceText,PK_ReportWritingComplianceText,1,1,0,1,RWComplianceTextId
adc,ReportWritingComponentPermission,PK_ReportWritingComponentPermission,1,1,0,1,ReportWritingComponentPermissionId
adc,ReportWritingComponentTab,PK__ReportWr__DE05DE3C85F9079D,1,1,0,1,ComponentTabId
adc,ReportWritingConplianceInternal,PK_ReportWritingConplianceInternal,1,1,0,1,ReportWritingConplianceInternalId
adc,ReportWritingConplianceStatus,PK_ReportWritingConplianceStatus,1,1,0,1,ReportWritingConplianceStatusId
adc,ReportWritingDispatch,PK__ReportWr__84730A17723D7A07,1,1,0,1,ReportWritingDispatchId
adc,ReportWritingDocument,PK_ReportWritingDocument,1,1,0,1,ReportWritingDocumentId
adc,ReportWritingDocumentType,PK_ReportWritingDocumentType,1,1,0,1,ReportWritingDocumentTypeId
adc,ReportWritingEngagementBackground,PK_ReportWritingEngagementBackground,1,1,0,1,ReportWritingEngagementBackgroundId
adc,ReportWritingExecutiveSummary,PK_ReportWritingExecutiveSummary,1,1,0,1,ReportWritingExecutiveSummaryId
adc,ReportWritingFinancialInformation,PK_ReportWritingFinancialInformation,1,1,0,1,ReportWritingFinancialInformationId
adc,ReportWritingForwardingLetter,PK_ReportWritingForwardingLetter,1,1,0,1,RptWrtForwardingLetterId
adc,ReportWritingForwardingLetterDetail,PK_ReportWritingForwardingLetterDetail,1,1,0,1,RptWrtForwardingLetterId
adc,ReportWritingForwardingLetterMaster,PK_ReportWritingForwardingLetterMaster,1,1,0,1,ForwardingLetterId
adc,ReportWritingForwardingLetterRow,PK_ReportWritingForwardingLetterRow,1,1,0,1,RptWrtForLetRowId
adc,ReportWritingForwardingLetterRowColumn,PK_ReportWritingForwardingLetterRowColumn,1,1,0,1,RptWrtForLetRowColumnId
adc,ReportWritingForwardingLetterTemplate,PK_ReportWritingForwardingLetterTempl,1,1,0,1,RptWrtForwardingLetterTemplateId
adc,ReportWritingGenerateReport,PK__ReportWr__C4FA21381D906D23,1,1,0,1,ReportWritingGenerateReportId
adc,ReportWritingIAD,PK_ReportWritingIAD,1,1,0,1,ReportWritingIADId
adc,ReportWritingIcqCategory,PK_ReportWritingIcqCategory,1,1,0,1,ReportWritingIcqCategoryId
adc,ReportWritingIcqParticular,PK_ReportWritingIcqParticular,1,1,0,1,ReportWritingIcqParticularId
adc,ReportWritingMisInformation,PK_ReportWritingMisInformation,1,1,0,1,RptWrtMisInfoId
adc,ReportWritingMisSection,PK_ReportWritingMisSection,1,1,0,1,MisSectionId
adc,ReportWritingMisSectionDetail,PK_ReportWritingReportSectionDetail,1,1,0,1,MisSectionDetailId
adc,ReportWritingPageIndex,PK_ReportWritingPageIndex,1,1,0,1,PageIndexId
adc,ReportWritingPageIndexSection,PK_ReportWritingPageIndexSection,1,1,0,1,TemplateSectionId
adc,ReportWritingPageIndexTemplate,PK__ReportWritingPageIndex__169EC3961F112D99,1,1,0,1,PageIndexId
