SchemaName,ParentTable,ForeignKeyName,ReferencedSchema,ReferencedTable,ParentColumn,ReferencedColumn,delete_referential_action_desc,update_referential_action_desc
sec,AspNetRoleClaims,FK_AspNetRoleClaims_AspNetRoles_RoleId,sec,AspNetRoles,RoleId,Id,CASCADE,NO_ACTION
sec,AspNetUserClaims,FK_AspNetUserClaims_AspNetUsers_UserId,sec,AspNetUsers,UserId,Id,CASCADE,NO_ACTION
sec,AspNetUserLogins,FK_AspNetUserLogins_AspNetUsers_UserId,sec,AspNetUsers,UserId,Id,CASCADE,NO_ACTION
sec,AspNetUserRoles,FK_AspNetUserRoles_AspNetRoles_RoleId,sec,AspNetRoles,RoleId,Id,CASCADE,NO_ACTION
sec,AspNetUserRoles,FK_AspNetUserRoles_AspNetUsers,sec,AspNetUsers,UserId,Id,NO_ACTION,NO_ACTION
sec,AspNetUserTokens,FK_AspNetUserTokens_AspNetUsers_UserId,sec,AspNetUsers,UserId,Id,CASCADE,NO_ACTION
std,AuditType,FK_AuditType_AuditCategory,std,AuditCategory,AuditCategoryId,AuditCategoryId,NO_ACTION,NO_ACTION
std,EmailGroupDetail,FK_EmailGroupDetail_EmailGroup1,std,EmailGroup,EmailGroupId,EmailGroupId,NO_ACTION,NO_ACTION
std,Observation,FK_Observation_Language,std,Language,LanguageId,LanguageId,NO_ACTION,NO_ACTION
std,Observation,FK_Observation_ObservationCategory,std,ObservationCategory,ObservationCategoryId,ObservationCategoryId,NO_ACTION,NO_ACTION
std,ObservationCharacteristicDetail,FK_ObservationCharacteristicDetail_ObservationCharacteristic,std,ObservationCharacteristic,ObservationCharacteristicId,ObservationCharacteristicId,NO_ACTION,NO_ACTION
std,ObservationDetail,FK_ObservationDetail_Observation,std,Observation,ObservationId,ObservationId,NO_ACTION,NO_ACTION
std,ObservationDetail,FK_ObservationDetail_ObservationCharacteristicDetail,std,ObservationCharacteristicDetail,ObservationCharacteristicDetailId,ObservationCharacteristicDetailId,NO_ACTION,NO_ACTION
std,ReportContentHeading,FK_ReportContentHeading_HeadingDataType,bis,HeadingDataType,HeadingDataTypeId,HeadingDataTypeId,NO_ACTION,NO_ACTION
std,StructureCategory,FK_StructureCategory_StructureType,std,StructureType,StructureTypeId,StructureTypeId,NO_ACTION,NO_ACTION
std,StructureElement,FK_StructureElement_StructureType,std,StructureType,StructureTypeId,StructureTypeId,NO_ACTION,NO_ACTION
std,StructureElement,StructureElement_StructureCategory,std,StructureCategory,StructureCategoryId,StructureCategoryId,NO_ACTION,NO_ACTION
wkf,WorkflowOperation,FK_WorkflowOperation_WorkflowItem,wkf,WorkflowItem,WorkflowProcessId,WorkflowItemId,NO_ACTION,NO_ACTION
